rs,theta,q,q_over_kF,lambda,order_N,Kxc_minus,sigma_Kxc_minus,Kxc_minus_times_NF,sigma_Kxc_minus_times_NF
4,1,1.63128,3.399990519,0.25,2,-3.76049156,0.003121405529,-0.09140410128,7.587020542e-05
4,1,1.72724,3.599994866,0.25,2,-2.509386771,0.002995570418,-0.06099421815,7.281160388e-05
4,1,1.8232,3.799999212,0.25,2,-1.35749844,0.004300575734,-0.03299593229,0.0001045316161
4,1,1.91916,4.000003558,0.25,2,-0.3601163116,0.004521898524,-0.008753139659,0.0001099111816
4,1,2.01512,4.200007905,0.25,2,0.4611841957,0.005129069568,0.01120973848,0.0001246693382
4,1,2.11107,4.399991409,0.25,2,1.083497546,0.005942409965,0.02633595046,0.0001444387346
4,1,2.20703,4.599995755,0.25,2,1.553792872,0.007173974656,0.03776714794,0.0001743736678
4,1,2.30299,4.800000102,0.25,2,1.862857944,0.008323746072,0.04527941452,0.000202320499
4,1,2.39895,5.000004448,0.25,2,2.051294303,0.008608818513,0.0498596285,0.0002092495906
4,1,0,0,0.25,3,-10.74187607,0.001857702016,-0.2610965913,4.515409235e-05
4,1,0.0959579,0.1999999695,0.25,3,-10.7201056,0.001786935513,-0.2605674292,4.343401174e-05
4,1,0.191916,0.4000003558,0.25,3,-10.63491412,0.001875650644,-0.2584967289,4.559035931e-05
4,1,0.287874,0.6000005338,0.25,3,-10.49425751,0.002051171744,-0.2550778697,4.985664955e-05
4,1,0.383832,0.8000007117,0.25,3,-10.28737379,0.002040060353,-0.2500492663,4.958657138e-05
4,1,0.47979,1.00000089,0.25,3,-9.999015538,0.002258970633,-0.2430403085,5.49074974e-05
4,1,0.575747,1.199998983,0.25,3,-9.613503102,0.002572795968,-0.2336698799,6.253546897e-05
4,1,0.671705,1.399999161,0.25,3,-9.115648039,0.002862070231,-0.2215688038,6.956669176e-05
4,1,0.767663,1.599999339,0.25,3,-8.488930343,0.003247974849,-0.2063355379,7.894665294e-05
4,1,0.863621,1.799999517,0.25,3,-7.713752011,0.003744096095,-0.1874937249,9.100558616e-05
4,1,0.959579,1.999999695,0.25,3,-6.802818312,0.004322459823,-0.1653521844,0.00010506354
4,1,1.05554,2.200006126,0.25,3,-5.738289546,0.005005376937,-0.1394772972,0.0001216628127
4,1,1.15149,2.39998963,0.25,3,-4.551563867,0.005818699509,-0.11063224,0.0001414317758
4,1,1.24745,2.599993976,0.25,3,-3.266039224,0.007110960656,-0.07938573328,0.0001728420228
4,1,1.34341,2.799998322,0.25,3,-1.961796076,0.008108611321,-0.04768424669,0.0001970913426
4,1,1.43937,3.000002669,0.25,3,-0.6677576794,0.009760319545,-0.0162308011,0.0002372384626
4,1,1.53533,3.200007015,0.25,3,0.5546727238,0.0109529468,0.01348211025,0.000266226966
4,1,1.63128,3.399990519,0.25,3,1.621938864,0.01510197965,0.0394235333,0.0003670751164
4,1,1.72724,3.599994866,0.25,3,2.508223354,0.01663844336,0.06096593965,0.0004044210546
4,1,1.8232,3.799999212,0.25,3,3.160964395,0.01883802184,0.07683173998,0.000457884941
4,1,1.91916,4.000003558,0.25,3,3.597106762,0.02076924764,0.08743280114,0.0005048261337
4,1,2.01512,4.200007905,0.25,3,3.831506035,0.02563783624,0.09313020919,0.0006231641112
4,1,2.11107,4.399991409,0.25,3,3.88231172,0.03023348379,0.0943651137,0.0007348678677
4,1,2.20703,4.599995755,0.25,3,3.752421124,0.03373679112,0.09120793785,0.00082002074
4,1,2.30299,4.800000102,0.25,3,3.550979054,0.04033687761,0.08631160152,0.000980445239
4,1,2.39895,5.000004448,0.25,3,3.339481867,0.04475972889,0.08117086127,0.001087948936
4,1,0,0,0.25,4,-10.86777601,0.003845499951,-0.2641567687,9.347035126e-05
4,1,0.0959579,0.1999999695,0.25,4,-10.84990011,0.00365608419,-0.2637222693,8.886633149e-05
4,1,0.191916,0.4000003558,0.25,4,-10.77014739,0.003919963815,-0.261783766,9.528030148e-05
4,1,0.287874,0.6000005338,0.25,4,-10.63690355,0.004111044301,-0.2585450847,9.992478473e-05
4,1,0.383832,0.8000007117,0.25,4,-10.44862988,0.004388792388,-0.2539688252,0.0001066758474
4,1,0.47979,1.00000089,0.25,4,-10.19181804,0.0044364735,-0.2477266478,0.0001078348047
4,1,0.575747,1.199998983,0.25,4,-9.857428152,0.005096456555,-0.2395988255,0.0001238766325
4,1,0.671705,1.399999161,0.25,4,-9.433136514,0.005677100673,-0.2292858132,0.0001379900145
4,1,0.767663,1.599999339,0.25,4,-8.906928285,0.006469699186,-0.216495573,0.0001572552498
4,1,0.863621,1.799999517,0.25,4,-8.276535176,0.007374977489,-0.201172971,0.0001792593278
4,1,0.959579,1.999999695,0.25,4,-7.553114595,0.008255288387,-0.1835892038,0.0002006565375
4,1,1.05554,2.200006126,0.25,4,-6.705231758,0.009921956855,-0.1629802043,0.0002411672875
4,1,1.15149,2.39998963,0.25,4,-5.789811577,0.01129828206,-0.1407296135,0.000274620831
4,1,1.24745,2.599993976,0.25,4,-4.785111172,0.01361390079,-0.1163089397,0.0003309052411
4,1,1.34341,2.799998322,0.25,4,-3.747978328,0.01671919578,-0.09109994937,0.000406383857
4,1,1.43937,3.000002669,0.25,4,-2.732994097,0.01980847585,-0.06642931256,0.0004814732075
4,1,1.53533,3.200007015,0.25,4,-1.732802184,0.02334068829,-0.04211822412,0.0005673286596
4,1,1.63128,3.399990519,0.25,4,-0.8228573453,0.02765306659,-0.0200007193,0.0006721471539
4,1,1.72724,3.599994866,0.25,4,-0.05200330187,0.03232593138,-0.00126401429,0.0007857277855
4,1,1.8232,3.799999212,0.25,4,0.5438548001,0.0388095731,0.01321916522,0.0009433219284
4,1,1.91916,4.000003558,0.25,4,1.012882313,0.0439050812,0.02461954669,0.001067175507
4,1,2.01512,4.200007905,0.25,4,1.270461143,0.05199745013,0.03088036688,0.001263872056
4,1,2.11107,4.399991409,0.25,4,1.445711452,0.0609698509,0.03514007515,0.00148195903
4,1,2.20703,4.599995755,0.25,4,1.384930073,0.07013851917,0.03366269719,0.001704816566
4,1,2.30299,4.800000102,0.25,4,1.357385003,0.08242067265,0.03299317503,0.002003351793
4,1,2.39895,5.000004448,0.25,4,1.283290513,0.09339406841,0.03119220296,0.0022700758
4,1,0,0,0.25,5,-10.69902757,0.006843016251,-0.2600550976,0.0001663292526
4,1,0.0959579,0.1999999695,0.25,5,-10.68279594,0.006861995479,-0.2596605648,0.0001667905697
4,1,0.191916,0.4000003558,0.25,5,-10.59876632,0.007178649758,-0.2576181052,0.0001744873028
4,1,0.287874,0.6000005338,0.25,5,-10.46673769,0.007326474846,-0.2544089613,0.000178080402
4,1,0.383832,0.8000007117,0.25,5,-10.27727533,0.007673011883,-0.249803809,0.0001865034781
4,1,0.47979,1.00000089,0.25,5,-10.02726954,0.008557654303,-0.2437270622,0.0002080059716
4,1,0.575747,1.199998983,0.25,5,-9.682275277,0.009138567983,-0.2353414855,0.0002221259057
4,1,0.671705,1.399999161,0.25,5,-9.258712717,0.01053910945,-0.2250461945,0.00025616806
4,1,0.767663,1.599999339,0.25,5,-8.729067832,0.01172509356,-0.2121724215,0.0002849950923
4,1,0.863621,1.799999517,0.25,5,-8.09827416,0.01371313209,-0.1968400832,0.0003333171991
4,1,0.959579,1.999999695,0.25,5,-7.366062335,0.01535265728,-0.1790426323,0.0003731681933
4,1,1.05554,2.200006126,0.25,5,-6.50457549,0.0187419502,-0.158102968,0.0004555497829
4,1,1.15149,2.39998963,0.25,5,-5.57426504,0.02231983255,-0.135490448,0.0005425153075
4,1,1.24745,2.599993976,0.25,5,-4.525009555,0.02668929804,-0.1099867996,0.000648721387
4,1,1.34341,2.799998322,0.25,5,-3.435383712,0.032812737,-0.08350189216,0.0007975602892
4,1,1.43937,3.000002669,0.25,5,-2.447194748,0.03890870229,-0.05948255249,0.0009457314045
4,1,1.53533,3.200007015,0.25,5,-1.416602071,0.04649422543,-0.03443253019,0.001130108344
4,1,1.63128,3.399990519,0.25,5,-0.4497876622,0.05578177256,-0.0109327295,0.0013558554
4,1,1.72724,3.599994866,0.25,5,0.2530424417,0.06662434773,0.006150556808,0.001619399627
4,1,1.8232,3.799999212,0.25,5,0.8169910638,0.07664053363,0.01985813098,0.001862857285
4,1,1.91916,4.000003558,0.25,5,1.294655216,0.08729316407,0.03146843826,0.002121784634
4,1,2.01512,4.200007905,0.25,5,1.474345095,0.1029085475,0.0358360566,0.002501338762
4,1,2.11107,4.399991409,0.25,5,1.580977585,0.1279907046,0.03842791107,0.0031109963
4,1,2.20703,4.599995755,0.25,5,1.433271443,0.1466818734,0.03483770301,0.003565311767
4,1,2.30299,4.800000102,0.25,5,1.312023631,0.1645995786,0.03189060232,0.004000827102
4,1,2.39895,5.000004448,0.25,5,1.217847729,0.1869035394,0.02960152294,0.004542956624
4,1,0,0,0.5,1,0.6729774415,3.299238126e-05,0.01635767485,8.019267987e-07
4,1,0.0959579,0.1999999695,0.5,1,0.6766503289,2.800578891e-05,0.01644694961,6.807205721e-07
4,1,0.191916,0.4000003558,0.5,1,0.6880535767,3.200601034e-05,0.01672412178,7.779516491e-07
4,1,0.287874,0.6000005338,0.5,1,0.7085816787,2.995116023e-05,0.01722308653,7.280055917e-07
4,1,0.383832,0.8000007117,0.5,1,0.740561999,3.602477384e-05,0.01800041374,8.756334176e-07
4,1,0.47979,1.00000089,0.5,1,0.7874814576,3.62319388e-05,0.01914085799,8.806688568e-07
4,1,0.575747,1.199998983,0.5,1,0.8540261604,3.974131656e-05,0.02075832173,9.659692798e-07
4,1,0.671705,1.399999161,0.5,1,0.9462649867,4.586767007e-05,0.02300031772,1.114879024e-06
4,1,0.767663,1.599999339,0.5,1,1.071587506,4.474069859e-05,0.02604645998,1.087486378e-06
4,1,0.863621,1.799999517,0.5,1,1.238356611,6.086145148e-05,0.03010002052,1.479324228e-06
4,1,0.959579,1.999999695,0.5,1,1.455670535,6.582019026e-05,0.03538214484,1.599853434e-06
4,1,1.05554,2.200006126,0.5,1,1.73217384,8.085442382e-05,0.04210295132,1.965281885e-06
4,1,1.15149,2.39998963,0.5,1,2.074668941,9.057349339e-05,0.05042778238,2.201517709e-06
4,1,1.24745,2.599993976,0.5,1,2.486063755,0.0001215969092,0.06042731904,2.955585998e-06
4,1,1.34341,2.799998322,0.5,1,2.964715398,0.0001480732237,0.07206162869,3.599130517e-06
4,1,1.43937,3.000002669,0.5,1,3.500257474,0.0001909814292,0.08507874131,4.642075542e-06
4,1,1.53533,3.200007015,0.5,1,4.075341337,0.0002267711318,0.09905697338,5.511995219e-06
4,1,1.63128,3.399990519,0.5,1,4.666290483,0.0003157145237,0.1134208337,7.673890989e-06
4,1,1.72724,3.599994866,0.5,1,5.244789995,0.0003497561389,0.127482088,8.501320913e-06
4,1,1.8232,3.799999212,0.5,1,5.781527995,0.0004653022827,0.1405282692,1.130983444e-05
4,1,1.91916,4.000003558,0.5,1,6.253367627,0.0005454146104,0.1519970033,1.325707863e-05
4,1,2.01512,4.200007905,0.5,1,6.643862981,0.0006508551523,0.1614885488,1.581996112e-05
4,1,2.11107,4.399991409,0.5,1,6.945848345,0.0007986451941,0.168828733,1.94122085e-05
4,1,2.20703,4.599995755,0.5,1,7.163092097,0.001029659736,0.1741091517,2.502734584e-05
4,1,2.30299,4.800000102,0.5,1,7.306623408,0.001271986208,0.1775978846,3.091743575e-05
4,1,2.39895,5.000004448,0.5,1,7.386687411,0.001336971545,0.1795439542,3.249699688e-05
4,1,0,0,0.5,2,-9.202257465,0.0001611263372,-0.2236739692,3.916405025e-06
4,1,0.0959579,0.1999999695,0.5,2,-9.20163916,0.0001764869781,-0.2236589404,4.289767272e-06
4,1,0.191916,0.4000003558,0.5,2,-9.200441543,0.0001704612451,-0.2236298306,4.143303252e-06
4,1,0.287874,0.6000005338,0.5,2,-9.195377613,0.0001928466602,-0.2235067446,4.687412638e-06
4,1,0.383832,0.8000007117,0.5,2,-9.18263506,0.0001941823086,-0.2231970187,4.719877472e-06
4,1,0.47979,1.00000089,0.5,2,-9.155564643,0.0002487066281,-0.2225390337,6.045168687e-06
4,1,0.575747,1.199998983,0.5,2,-9.106472309,0.0002200776771,-0.2213457746,5.349301273e-06
4,1,0.671705,1.399999161,0.5,2,-9.023898756,0.0002367806824,-0.2193387068,5.755291596e-06
4,1,0.767663,1.599999339,0.5,2,-8.895669286,0.0002825418892,-0.216221907,6.86758288e-06
4,1,0.863621,1.799999517,0.5,2,-8.707557399,0.0003028221958,-0.2116495798,7.360524606e-06
4,1,0.959579,1.999999695,0.5,2,-8.443836865,0.0003418327307,-0.2052394767,8.308731196e-06
4,1,1.05554,2.200006126,0.5,2,-8.089536416,0.0003869535404,-0.1966276999,9.405456717e-06
4,1,1.15149,2.39998963,0.5,2,-7.635646107,0.0004795190688,-0.1855952497,1.165539367e-05
4,1,1.24745,2.599993976,0.5,2,-7.074770641,0.0005183533875,-0.171962373,1.259931708e-05
4,1,1.34341,2.799998322,0.5,2,-6.412403264,0.0006649400289,-0.1558625908,1.616231409e-05
4,1,1.43937,3.000002669,0.5,2,-5.660740642,0.0007107721838,-0.1375923607,1.727632987e-05
4,1,1.53533,3.200007015,0.5,2,-4.845309207,0.0008291906713,-0.1177721387,2.015465981e-05
4,1,1.63128,3.399990519,0.5,2,-4.000987235,0.0009571487048,-0.09724969106,2.326486199e-05
4,1,1.72724,3.599994866,0.5,2,-3.165174038,0.001019182437,-0.07693406133,2.477268018e-05
4,1,1.8232,3.799999212,0.5,2,-2.379767099,0.001214956991,-0.05784362748,2.953125943e-05
4,1,1.91916,4.000003558,0.5,2,-1.673656597,0.001344992828,-0.04068060642,3.26919656e-05
4,1,2.01512,4.200007905,0.5,2,-1.073763582,0.001508535922,-0.0260993526,3.666711332e-05
4,1,2.11107,4.399991409,0.5,2,-0.5861905106,0.001753461281,-0.01424819494,4.262037289e-05
4,1,2.20703,4.599995755,0.5,2,-0.206006232,0.002050000669,-0.005007274765,4.98281849e-05
4,1,2.30299,4.800000102,0.5,2,0.07710974687,0.002531357086,0.001874262181,6.152823793e-05
4,1,2.39895,5.000004448,0.5,2,0.2730121457,0.002717146923,0.006635948896,6.604412443e-05
4,1,0,0,0.5,3,-9.990990102,0.0009425224646,-0.2428452389,2.29093504e-05
4,1,0.0959579,0.1999999695,0.5,3,-9.979598157,0.0009523046541,-0.2425683414,2.314712044e-05
4,1,0.191916,0.4000003558,0.5,3,-9.931178328,0.0009669518946,-0.2413914285,2.350314247e-05
4,1,0.287874,0.6000005338,0.5,3,-9.851885269,0.001021447537,-0.2394640979,2.482773666e-05
4,1,0.383832,0.8000007117,0.5,3,-9.731299461,0.001079739192,-0.2365330881,2.624459832e-05
4,1,0.47979,1.00000089,0.5,3,-9.559575397,0.001163782077,-0.2323590902,2.828738028e-05
4,1,0.575747,1.199998983,0.5,3,-9.32655187,0.001268814074,-0.2266951217,3.084033252e-05
4,1,0.671705,1.399999161,0.5,3,-9.015578352,0.001396608444,-0.2191364676,3.394655662e-05
4,1,0.767663,1.599999339,0.5,3,-8.611927973,0.00158126596,-0.2093251704,3.843492046e-05
4,1,0.863621,1.799999517,0.5,3,-8.101037305,0.001784023516,-0.1969072454,4.336323152e-05
4,1,0.959579,1.999999695,0.5,3,-7.467629389,0.002055104319,-0.1815113642,4.995223637e-05
4,1,1.05554,2.200006126,0.5,3,-6.704003013,0.002360151761,-0.1629503379,5.736684877e-05
4,1,1.15149,2.39998963,0.5,3,-5.810296677,0.002800404157,-0.141227533,6.806781006e-05
4,1,1.24745,2.599993976,0.5,3,-4.800721145,0.00319219642,-0.1166883623,7.75908788e-05
4,1,1.34341,2.799998322,0.5,3,-3.699648576,0.003772210558,-0.08992522592,9.168894821e-05
4,1,1.43937,3.000002669,0.5,3,-2.545550726,0.004377777592,-0.06187323455,0.0001064081171
4,1,1.53533,3.200007015,0.5,3,-1.394493165,0.005219326261,-0.03389514175,0.0001268631557
4,1,1.63128,3.399990519,0.5,3,-0.2991442948,0.005849865702,-0.007271127984,0.0001421893145
4,1,1.72724,3.599994866,0.5,3,0.6881412091,0.006643375811,0.01672625181,0.0001614767074
4,1,1.8232,3.799999212,0.5,3,1.519942718,0.007777444604,0.03694437174,0.0001890418641
4,1,1.91916,4.000003558,0.5,3,2.168344188,0.008790807426,0.05270469263,0.0002136730902
4,1,2.01512,4.200007905,0.5,3,2.642317228,0.01034488109,0.06422528216,0.0002514470631
4,1,2.11107,4.399991409,0.5,3,2.923178485,0.0116713184,0.07105201488,0.0002836880104
4,1,2.20703,4.599995755,0.5,3,3.061127554,0.01331653978,0.07440506342,0.0003236774584
4,1,2.30299,4.800000102,0.5,3,3.078940123,0.01417058299,0.07483802325,0.0003444361946
4,1,2.39895,5.000004448,0.5,3,3.014224786,0.01719990302,0.07326502485,0.0004180681309
4,1,0,0,0.5,4,-10.57361934,0.001749933592,-0.257006872,4.253462739e-05
4,1,0.0959579,0.1999999695,0.5,4,-10.56001977,0.001752700821,-0.256676315,4.260188882e-05
4,1,0.191916,0.4000003558,0.5,4,-10.49675245,0.001788575091,-0.2551385128,4.347386403e-05
4,1,0.287874,0.6000005338,0.5,4,-10.394314,0.001872090559,-0.2526486005,4.550382638e-05
4,1,0.383832,0.8000007117,0.5,4,-10.24247179,0.001976075409,-0.2489578592,4.80313262e-05
4,1,0.47979,1.00000089,0.5,4,-10.02866128,0.00212814841,-0.2437608905,5.172767702e-05
4,1,0.575747,1.199998983,0.5,4,-9.74551425,0.002328923622,-0.2368785988,5.660780438e-05
4,1,0.671705,1.399999161,0.5,4,-9.375205448,0.002580734864,-0.2278777161,6.272843514e-05
4,1,0.767663,1.599999339,0.5,4,-8.905900203,0.002911627133,-0.216470584,7.077124282e-05
4,1,0.863621,1.799999517,0.5,4,-8.323233444,0.003292526862,-0.2023080389,8.002955303e-05
4,1,0.959579,1.999999695,0.5,4,-7.618624031,0.003788320345,-0.1851815039,9.208051951e-05
4,1,1.05554,2.200006126,0.5,4,-6.78863069,0.004349228821,-0.1650073341,0.0001057141986
4,1,1.15149,2.39998963,0.5,4,-5.838001476,0.005104287283,-0.1419009376,0.0001240669695
4,1,1.24745,2.599993976,0.5,4,-4.788181317,0.005925100734,-0.116383564,0.0001440180091
4,1,1.34341,2.799998322,0.5,4,-3.672255794,0.006923708381,-0.08925940535,0.0001682905897
4,1,1.43937,3.000002669,0.5,4,-2.529131918,0.007950904086,-0.06147415205,0.0001932580437
4,1,1.53533,3.200007015,0.5,4,-1.423730864,0.009501633419,-0.03460580566,0.000230950728
4,1,1.63128,3.399990519,0.5,4,-0.3992152887,0.01078356562,-0.009703495966,0.0002621099153
4,1,1.72724,3.599994866,0.5,4,0.4955356074,0.01245853288,0.01204469844,0.0003028223792
4,1,1.8232,3.799999212,0.5,4,1.212728536,0.01444026515,0.02947709365,0.0003509912034
4,1,1.91916,4.000003558,0.5,4,1.739283399,0.01653276318,0.04227575928,0.0004018523472
4,1,2.01512,4.200007905,0.5,4,2.079056881,0.0188544511,0.05053443751,0.0004582842775
4,1,2.11107,4.399991409,0.5,4,2.266375427,0.02176809116,0.05508748145,0.0005291044475
4,1,2.20703,4.599995755,0.5,4,2.308914944,0.02413832138,0.05612146499,0.0005867162676
4,1,2.30299,4.800000102,0.5,4,2.254671224,0.02664995286,0.05480299413,0.0006477650465
4,1,2.39895,5.000004448,0.5,4,2.120592629,0.03090606737,0.05154402299,0.0007512159692
4,1,0,0,0.5,5,-10.69072939,0.002889117308,-0.2598533985,7.022410949e-05
4,1,0.0959579,0.1999999695,0.5,5,-10.67617719,0.002874673831,-0.2594996866,6.987304021e-05
4,1,0.191916,0.4000003558,0.5,5,-10.6025436,0.002948893242,-0.2577099174,7.167704867e-05
4,1,0.287874,0.6000005338,0.5,5,-10.48495678,0.003063042767,-0.2548518022,7.44516154e-05
4,1,0.383832,0.8000007117,0.5,5,-10.3107439,0.003243760436,-0.25061731,7.884421562e-05
4,1,0.47979,1.00000089,0.5,5,-10.07090476,0.003480819635,-0.2447876784,8.460627696e-05
4,1,0.575747,1.199998983,0.5,5,-9.757340715,0.003819267312,-0.2371660579,9.28327296e-05
4,1,0.671705,1.399999161,0.5,5,-9.349925964,0.004242305816,-0.2272632623,0.0001031152827
4,1,0.767663,1.599999339,0.5,5,-8.840177347,0.004760698516,-0.2148730964,0.0001157155554
4,1,0.863621,1.799999517,0.5,5,-8.216205599,0.005381326686,-0.1997065747,0.0001308008067
4,1,0.959579,1.999999695,0.5,5,-7.47062597,0.006229827011,-0.1815842003,0.0001514248151
4,1,1.05554,2.200006126,0.5,5,-6.604577427,0.007196068141,-0.1605336575,0.0001749106814
4,1,1.15149,2.39998963,0.5,5,-5.629163338,0.008415121855,-0.1368248293,0.0002045415175
4,1,1.24745,2.599993976,0.5,5,-4.559275531,0.00982762861,-0.1108196829,0.0002388745052
4,1,1.34341,2.799998322,0.5,5,-3.442333033,0.01139553332,-0.08367080531,0.0002769846615
4,1,1.43937,3.000002669,0.5,5,-2.308535312,0.0132819371,-0.05611223749,0.0003228363911
4,1,1.53533,3.200007015,0.5,5,-1.227683671,0.01551025036,-0.0298405995,0.0003769987175
4,1,1.63128,3.399990519,0.5,5,-0.2416814198,0.0180530581,-0.005874410997,0.0004388052798
4,1,1.72724,3.599994866,0.5,5,0.6139811145,0.02070893095,0.01492368513,0.0005033600505
4,1,1.8232,3.799999212,0.5,5,1.28676082,0.02425522598,0.03127655373,0.0005895578002
4,1,1.91916,4.000003558,0.5,5,1.760580426,0.0275943855,0.04279341385,0.0006707208263
4,1,2.01512,4.200007905,0.5,5,2.067324713,0.03150581001,0.05024927046,0.0007657935678
4,1,2.11107,4.399991409,0.5,5,2.208452647,0.03582328838,0.05367958581,0.0008707360267
4,1,2.20703,4.599995755,0.5,5,2.241702295,0.04046439285,0.05448776585,0.0009835446784
4,1,2.30299,4.800000102,0.5,5,2.180137536,0.04383824334,0.05299134672,0.001065550918
4,1,2.39895,5.000004448,0.5,5,2.022450926,0.05101914567,0.04915854918,0.001240092973
4,1,0,0,0.75,1,0.4395601,4.785877884e-05,0.01068413404,1.163275757e-06
4,1,0.0959579,0.1999999695,0.75,1,0.4422912959,4.76577614e-05,0.01075051965,1.158389742e-06
4,1,0.191916,0.4000003558,0.75,1,0.4504336485,4.805508408e-05,0.01094843112,1.168047236e-06
4,1,0.287874,0.6000005338,0.75,1,0.4651778467,4.762619408e-05,0.01130680985,1.157622454e-06
4,1,0.383832,0.8000007117,0.75,1,0.4879342918,5.002233966e-05,0.01185993765,1.215864184e-06
4,1,0.47979,1.00000089,0.75,1,0.5211959816,5.867730853e-05,0.01266841037,1.426235524e-06
4,1,0.575747,1.199998983,0.75,1,0.5679380627,5.330297666e-05,0.0138045432,1.295604736e-06
4,1,0.671705,1.399999161,0.75,1,0.6324717983,6.514178122e-05,0.01537312752,1.583363737e-06
4,1,0.767663,1.599999339,0.75,1,0.7193173073,8.460436265e-05,0.01748403127,2.056429488e-06
4,1,0.863621,1.799999517,0.75,1,0.8350406632,9.427416045e-05,0.02029685219,2.29146769e-06
4,1,0.959579,1.999999695,0.75,1,0.9855855583,9.867386565e-05,0.0239560602,2.398408789e-06
4,1,1.05554,2.200006126,0.75,1,1.177066518,0.0001215894486,0.02861027754,2.955404659e-06
